filename,width,height,class,xmin,ymin,xmax,ymax
162.jpg,721,961,Rose,291,336,519,504
162.jpg,721,961,Rose,506,524,694,669
625610.jpg,512,512,Orchid,166,159,314,297
625610.jpg,512,512,Orchid,254,348,439,512
625610.jpg,512,512,Orchid,282,65,424,224
625610.jpg,512,512,Orchid,151,48,296,174
625610.jpg,512,512,Orchid,40,59,153,249
625610.jpg,512,512,Orchid,2,313,103,498
625610.jpg,512,512,Orchid,425,274,512,413
88.jpg,721,721,Rose,218,178,563,426
88.jpg,721,721,Rose,371,436,447,485
176.jpg,720,720,Rose,78,16,693,599
63.jpg,721,961,Rose,64,309,644,836
77.jpg,721,961,Rose,161,433,446,651
189.jpg,720,720,Rose,54,87,648,681
624718.jpg,512,512,Orchid,126,78,372,273
624718.jpg,512,512,Orchid,380,176,512,299
624718.jpg,512,512,Orchid,1,82,170,330
21301.jpg,721,961,Tulip,372,197,568,404
21301.jpg,721,961,Tulip,60,81,263,265
21301.jpg,721,961,Tulip,258,319,337,443
20779.jpg,721,961,Tulip,113,266,590,686
23502.jpg,721,541,Sunflower,463,319,686,539
23502.jpg,721,541,Sunflower,195,11,421,199
23502.jpg,721,541,Sunflower,54,62,196,278
630779.jpg,512,512,Orchid,70,82,451,372
630779.jpg,512,512,Orchid,3,166,130,380
630779.jpg,512,512,Orchid,320,349,509,512
630779.jpg,512,512,Orchid,386,3,512,109
20962.jpg,640,853,Sunflower,91,1,640,610
268054.jpg,360,360,Carnation,187,91,256,140
268054.jpg,360,360,Carnation,168,138,217,179
268054.jpg,360,360,Carnation,181,239,247,293
268054.jpg,360,360,Carnation,202,195,251,234
268054.jpg,360,360,Carnation,288,134,338,185
268054.jpg,360,360,Carnation,110,133,166,181
268054.jpg,360,360,Carnation,103,188,157,244
268054.jpg,360,360,Carnation,73,228,125,295
268054.jpg,360,360,Carnation,66,103,132,142
268054.jpg,360,360,Carnation,145,63,198,88
268054.jpg,360,360,Carnation,201,64,267,94
268054.jpg,360,360,Carnation,55,142,103,223
268054.jpg,360,360,Carnation,163,190,204,238
268054.jpg,360,360,Carnation,256,240,301,292
268054.jpg,360,360,Carnation,224,145,281,196
261702.jpg,972,1296,Carnation,461,805,607,963
261702.jpg,972,1296,Carnation,365,707,493,847
261702.jpg,972,1296,Carnation,346,563,495,703
